name,lon,lat,area_km2
Lake Superior,-88.20106,47.72581,82267
Lake Victoria,32.86569,-1.26683,67490
Lake Huron,-82.28833,44.68591,59944
Lake Michigan,-87.08872,43.87847,57569
Lake Tanganyika,29.46176,-6.07159,32980
Lake Baikal,108.15867,53.63105,31496
Great Bear Lake,-120.35408,65.92752,30726
Lake Malawi,34.51463,-11.94975,29024
Great Slave Lake,-113.92767,61.81687,26001
Lake Erie,-80.96670,42.24696,25754
Lake Winnipeg,-97.48146,52.40061,24752
Lake Ontario,-77.64536,43.84904,19471
Lake Ladoga,31.66101,60.84474,17604
Lake Balkhash,73.95367,45.90296,17591
Georgian Bay,-80.74389,45.24727,13812
Lake Onega,35.55817,61.89047,9912
Lake Saimaa,29.53535,62.32716,9331
Represa de Sobradinho,-42.45925,-10.14206,8768
Lake Eyre North,137.29860,-28.48388,8162
Lago Titicaca,-69.35391,-15.92042,8153
Lake Athabasca,-110.20126,59.03543,8065
Lake Volta,0.06504,7.72776,8012
Lago de Nicaragua,-85.30844,11.57171,7870
Lake Turkana,36.07510,3.53057,7764
Smallwood Reservoir,-64.24999,54.27514,7011
Reindeer Lake,-102.34424,57.21979,6701
Issyk-Kul,77.03582,42.44889,6266
Samara Reservoir,48.64568,54.57228,5771
Vänern,13.59359,58.88265,5735
Nettilling Lake,-70.38174,66.49785,5429
Lake Albert,31.01065,1.70934,5417
Lake Winnipegosis,-100.04473,52.38000,5353
Lake Torrens,137.83314,-31.03896,5170
Lac Moeru,28.71307,-9.00301,5068
Lake Manitoba,-98.84468,50.99708,4831
Lake Kariba,27.58533,-17.23476,4735
Rybinsk Reservoir,38.36935,58.61831,4723
Lake Taymyr,100.72158,74.50220,4632
Lake Nipigon,-88.34862,49.83258,4537
Qinghai Hu,100.11327,36.87879,4467
Lake of the Woods,-94.82183,49.42385,4380
Vilyuy Reservoir,111.30958,62.70100,4362
Lake Urmia,45.51194,37.69771,4332
Lake Gairdner,136.02213,-31.71365,4251
Lake Zaysan,83.43508,48.72532,4205
Päijänne,25.73606,62.09269,4199
Great Salt Lake,-112.57671,41.18401,4119
Bratsk Reservoir,103.10917,54.73668,4088
Lake Khanka,132.43251,44.93686,4045
Lagoa Mirim,-53.23854,-32.87962,3853
Dubawnt Lake,-101.65651,63.12032,3839
Sarygamysh Köli,57.37365,41.93964,3818
North Channel,-82.90101,46.04323,3685
Represa de Tucuruí,-49.48789,-4.60315,3615
Lake Mackay,128.79408,-22.33285,3602
Lake Nasser,32.57979,22.79700,3583
Lake Van,42.81614,38.65734,3511
North Aral Sea,60.63428,46.43360,3418
South Aral Sea,58.52683,45.21408,3400
Uvs Nuur,92.76862,50.33962,3310
Zeya Reservoir,127.70238,54.30750,3277
Lake Tana,37.27913,11.96175,3161
Amadjuak Lake,-71.16485,64.99660,3119
Tsimlyansk Reservoir,43.45285,48.52148,3064
Cedar Lake,-100.45895,53.33639,2938
Réservoir de La Grande 2,-76.62396,53.83814,2901
Saginaw Bay,-83.55512,43.98783,2865
Alakol,81.71176,46.11652,2840
Lake Mistassini,-73.83787,50.71493,2825
Khövsgöl Nuur,100.48879,51.03020,2770
Lake Peipus,27.48994,58.62818,2759
Iliamna Lake,-155.19492,59.55984,2683
Lake Frome,139.80033,-30.67984,2588
Tonlé Sap,104.02841,12.81820,2553
Churchill Lake,-108.32078,56.16891,2531
Tai Hu,120.13763,31.23730,2515
Represa Itaipu,-54.39511,-24.75650,2424
Lake Kivu,29.23846,-2.03056,2421
Wollaston Lake,-103.34030,58.11893,2408
Nueltin Lake,-99.42661,60.22907,2383
Lac de Kossou,-5.66071,7.52553,2380
Southern Indian Lake,-98.28497,57.15650,2375
Hongze Hu,118.56917,33.25723,2357
Hulun Nuur,117.40070,48.96082,2353
Syvash,34.84694,45.76697,2344
Réservoir de La Grande 3,-75.09392,53.68301,2240
Lake Edward,29.59340,-0.38271,2225
Aydar Ko‘l,67.43378,40.77941,2176
Lake Bangweulu,29.76613,-11.14275,2130
Réservoir Manicouagan,-68.37500,51.34443,2118
Mar Chiquita,-62.57056,-30.72812,2107
Lake Barlee,119.27332,-29.23054,2106
Poyang Hu,116.05991,29.26344,2083
Kakhovka Reservoir,34.06754,47.34284,2050
Kama Reservoir,56.27570,58.80303,2037
Lake Chany,76.97750,54.83000,2036
Lac Mai-Ndombe,18.35451,-2.13491,2005
IJsselmeer,5.42243,52.66701,1966
Vättern,14.47269,58.33028,1952
Lake Rukwa,32.07301,-7.84911,1950
Whitefish Bay,-84.78695,46.71393,1945
McLeod Bay,-111.35289,62.66935,1939
Lake Oahe,-100.48592,45.57931,1926
Kremenchuk Reservoir,32.72644,49.28756,1901
Lago Buenos Aires,-72.50818,-46.65586,1899
Nam Co,90.58199,30.72540,1884
Represa Furnas,-45.87865,-21.03029,1878
Professor Doctor Ingenieur W. J. Van Blommestein Meer,-55.11169,4.73113,1859
Aberdeen Lake,-99.45077,64.58772,1837
Lake Argyle,128.69127,-16.43217,1822
Baker Lake,-94.91682,64.12690,1815
Mälaren,16.84925,59.52216,1810
Laguna Madre,-97.65719,24.64840,1755
Lake Kyoga,32.89065,1.49460,1741
Lac la Martre,-118.25912,63.34301,1729
Volgograd Reservoir,46.01258,51.03991,1655
Réservoir Gouin,-74.60288,48.54252,1654
Williston Lake,-123.91330,55.96138,1653
Krasnoyarsk Reservoir,91.03449,54.61158,1647
Lake Sakakawea,-102.31604,47.82310,1630
Inarijrvi,27.89585,69.06868,1611
Lake Okeechobee,-80.84617,26.94179,1591
Siling Co,88.94459,31.74890,1582
Lake Tuz,33.31223,38.82512,1568
Lago Rincón del Bonete,-56.05671,-32.70109,1566
Lago Poopó,-67.18141,-18.61385,1562
Lago de Cahora Bassa,32.06333,-15.68846,1560
,-100.15037,53.94808,1559
Har Us Nuur,92.34929,48.06477,1553
Buhayrat ath Tharthar,43.22249,34.02419,1552
Lake Carnegie,122.99778,-26.26114,1527
Khantayskoye Reservoir,87.76317,68.07403,1519
Lac Seul,-92.87223,50.45413,1515
Repressa de Jupia,-51.00272,-20.10201,1503
Yathkyed Lake,-97.97573,62.69732,1483
Cree Lake,-106.35671,57.46956,1479
Lake Claire,-112.02811,58.56400,1474
Contwoyto Lake,-110.33635,65.43270,1463
Kasba Lake,-102.21130,60.28721,1458
Lago Argentino,-73.03503,-50.31820,1453
Lac la Ronge,-104.95765,55.11612,1442
Bariri,-49.50548,-21.44888,1438
Lake Razazah,43.57200,32.81023,1429
Tengiz Köli,68.91868,50.44927,1427
Lake Kovdozero,32.19188,66.69920,1393
Lake Sevan,45.36274,40.37878,1380
Garry Lake,-99.36106,65.96123,1368
Represa Iepe,-50.94949,-22.80957,1363
Represa Três Marias,-45.22301,-18.62239,1355
Khyargas Nuur,93.37361,49.14553,1353
Lac-à-l'Eau-Claire,-74.50505,56.13727,1344
Lake Vygozero,35.12888,63.38525,1343
Lake Bienville,-72.77086,55.10876,1306
Ust-Ilimsk Reservoir,102.39135,57.45484,1296
Lake Chad,14.53601,13.06267,1296
Lake Moore,117.46178,-29.84591,1293
Lake Eyre South,137.39920,-29.30560,1283
Wholdaia Lake,-104.26888,60.66797,1276
Lake Everard,135.11717,-31.30110,1270
Saratov Reservoir,48.31082,52.61976,1251
Embalse de Guri,-62.77725,7.29666,1250
Lake Champlain,-73.32449,44.41613,1249
Lake Disappointment,122.77252,-23.47910,1242
Kainji Reservoir,4.56548,10.25429,1241
Cheboksary Reservoir,46.14114,56.25428,1217
Oulujärvi,27.13478,64.33236,1212
,-111.27730,63.95808,1200
Lesser Slave Lake,-115.73999,55.45051,1192
Gorky Reservoir,43.07390,57.16622,1172
Rainy Lake,-93.11511,48.64511,1165
,-156.19829,57.85429,1158
Pielinen,29.90052,63.15770,1156
Danau Toba,98.90217,2.61583,1152
Lake Saint Clair,-82.68382,42.50409,1149
Island Lake,-94.24759,53.85212,1128
Lake Abaya,37.94536,6.31040,1128
Votkinsk Reservoir,55.28308,57.32105,1115
Gods Lake,-94.38279,54.62953,1103
Represa de São Simão,-50.19817,-18.66375,1101
Lake Beloye,37.62506,60.20243,1097
Pääjärvi,30.78841,66.16743,1096
Novosibirsk Reservoir,82.00834,54.36667,1084
Lake Eyasi,35.12803,-3.57788,1079
Lago Viedma,-72.64379,-49.59700,1079
Napaktulik,-113.27015,66.27752,1073
Aylmer Lake,-108.48237,64.17591,1071
Lake Amadeus,130.87083,-24.74840,1070
Pyhäjärvi,23.70347,61.75727,1056
Lac Saint-Jean,-72.03327,48.60199,1051
Ozero Khantayskoye,91.70002,68.39738,1047
Lago San Martín,-72.89014,-48.77661,1045
Lago de Managua,-86.39917,12.33736,1044
Fort Peck Lake,-106.93787,47.69328,1042
Lake Topozero,32.15417,65.64170,1035
Lago de Chapala,-103.04332,20.21734,1034
Lake Carey,122.33033,-29.12133,1034
Lake Abitibi,-79.57131,48.70163,1022
Represa Porto Primavera,-52.33576,-21.94723,1017
,85.60536,30.91526,1012
,-99.77779,62.38043,1010
Bosten Hu,87.06378,41.97879,1005
Lac de Buyo,-6.98409,6.63920,1001
Lake Imandra,31.71767,67.64425,994
Represa Agua Vermetha,-49.87315,-19.95674,978
Point Lake,-113.64478,65.31672,961
,-50.80230,-20.84793,949
Nonacho Lake,-109.10922,61.85750,944
Nizhnekamsk Reservoir,52.64764,55.86351,941
Har Nuur,93.27041,47.89890,940
Kapchagay Reservoir,77.63239,43.84874,936
,136.82117,50.02906,935
Lake Hammar,47.07093,30.78810,931
Hottah Lake,-118.59515,65.03884,928
Laguna de Bay,121.20776,14.35051,914
Lake Nipissing,-79.84358,46.25325,910
Réservoir Pipmuacan,-70.44080,49.61990,908
Réservoir Outardes Quatre,-69.31599,50.22187,905
Lake Il'Men',31.31766,58.31527,895
Lake Cowan,121.83993,-31.84022,884
Presa de la Angostura,-92.54889,16.12288,869
Teshekpuk Lake,-153.52250,70.60306,866
Lake Segozerskoye,33.66747,63.34521,866
Ozero Pyasino,87.77738,69.78796,858
Lago Llanquihue,-72.82533,-41.13403,856
Gaoyou Hu,119.33498,32.94652,849
Lake Powell,-110.69019,37.42395,843
Salton Sea,-115.75679,33.30550,843
,-97.41519,61.45392,835
Presa del Infiernillo,-101.82434,18.58155,834
Clinton-Colden Lake,-107.45175,63.93865,832
Lake Pskov,27.84502,58.04798,827
,-76.31203,56.33891,821
Embalse Ezequiel Ramos Mexia,-69.02386,-39.46440,820
,-110.48301,64.54048,818
Barragem Itumbiara,-48.85763,-18.27431,814
Toledo Bend Reservoir,-93.80416,31.58524,812
Tangra Yumco,86.57508,31.07069,801
Réservoir de Caniapiscau,-69.87189,54.16723,794
Lago Colhué Huapí,-68.90038,-45.46266,793
Chao Hu,117.41674,31.58171,791
Lake Mead,-114.01346,36.20940,788
Cabonga Reservoir,-76.62607,47.37802,784
,-101.38984,60.97337,780
Danjiangkou Shuiku,111.56565,32.78698,774
Dongting Hu,112.16682,28.92021,774
Lac Minto,-74.73229,57.31104,767
Chew Bahir,36.87477,4.69360,756
Lake Sasykkol,80.99504,46.58235,751
Lac Tumba,18.02009,-0.81866,737
Keban Baraji,39.28566,38.83601,735
Lago de Izabal,-89.06119,15.57978,735
,-105.56315,61.58344,734
Represa Itarare,-49.70527,-23.36489,733
Lake Simcoe,-79.31837,44.49767,732
,-97.50038,54.74772,732
Hinakud Dam,83.79604,21.63323,731
Ozero Lama,91.03538,69.47152,723
,-47.70970,-18.34672,716
Lake Wells,123.38373,-26.91713,711
Scott Lake,-106.01494,60.02199,710
Ozero Kulundinskoye,79.59511,52.98109,704
,-77.00785,50.88846,689
,26.70247,61.80392,688
Buhayrat al-Assad,38.08739,36.05707,676
Big Trout Lake,-90.02283,53.78250,674
Yamzho Yumco,90.89685,28.98939,673
Selwyn Lake,-104.48242,60.07409,673
Barra Bonita,-48.62781,-23.34311,673
