# dgm_w inland low-water reference gauges — MNW in NHN. Generated by harvest_gauges.py
# from PEGELONLINE (https://www.pegelonline.wsv.de/webservices/rest-api/v2/); regenerate when
# the WSV republishes MNW. datum_nhn_m = gaugeZero + MNW/100 (gaugeZero unit 'm. ü. NHN').
# Attribution: © Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV) / BfG.
gauge,lon,lat,km,datum_nhn_m
SCHÖNA,14.235229,50.875762,2.05,117.02
PIRNA,13.929755,50.964585,34.67,109.066
DRESDEN,13.738832,51.05446,55.63,103.37
MEISSEN,13.475468,51.164406,82.2,96.003
RIESA,13.293341,51.311482,108.4,89.372
MÜHLBERG,13.191762,51.43735,128.02,83.266
TORGAU,13.010131,51.553685,154.15,75.758
PRETZSCH-MAUKEN,12.823297,51.716993,184.45,69.264
ELSTER,12.827257,51.826851,200.15,66.258
WITTENBERG,12.646311,51.856529,214.14,63.48
COSWIG,12.454012,51.876941,236.31,58.901
VOCKERODE,12.355387,51.851333,245.62,56.868
ROSSLAU,12.236541,51.881407,257.84,54.506
DESSAU,12.223277,51.856888,261.16,53.791
AKEN,12.058859,51.857867,274.8,50.847
BARBY,11.882246,51.984834,294.82,46.705
SCHÖNEBECK,11.738802,52.024534,311.76,43.633
MAGDEBURG-BUCKAU,11.634986,52.119271,325.39,41.466
MAGDEBURG-STROMBRÜCKE,11.644334,52.129698,326.67,40.615
ROTHENSEE,11.682653,52.180953,333.12,38.233
NIEGRIPP AP,11.737554,52.249748,343.6,36.524
ROGÄTZ,11.768834,52.313845,350.64,35.526
TANGERMÜNDE,11.978056,52.541306,388.26,28.946
STORKAU,12.002483,52.610405,396.11,27.713
SANDAU,12.031305,52.78477,416.06,24.334
SCHARLEUK,11.837558,52.956969,447.22,18.857
WITTENBERGE,11.759443,52.985529,453.98,17.827
MÜGGENDORF,11.656213,53.007901,463.94,16.438
SCHNACKENBURG,11.569162,53.038251,474.56,14.917
LENZEN,11.455946,53.079993,484.7,13.461
GORLEBEN,11.349503,53.050282,492.95,12.304
DÖMITZ,11.242912,53.140333,504.7,10.912
DAMNATZ,11.179445,53.137769,509.35,10.382
HITZACKER,11.045488,53.154626,522.639,8.422
NEU DARCHAU,10.888819,53.232258,536.385,6.738
BLECKEDE,10.735002,53.295083,549.633,5.215
BOIZENBURG,10.717767,53.375469,558.534,4.454
HOHNSTORF,10.558836,53.366264,568.987,4.139
ARTLENBURG,10.489216,53.376174,573.86,4.063
GEESTHACHT,10.374522,53.426505,583.393,3.966
