# Free-flowing Rhein low-water (GlW — gleichwertiger Wasserstand) reference gauges for dgm_w.
# Used by build_reference.py to build the GlW-in-NHN surface subtracted from the NHN riverbed,
# giving depth below low water. Free-flowing reach only: below the Iffezheim barrage (km 336).
#
# glw_nhn_m = GlW height in NHN = gaugeZero + GlW/100. Source: PEGELONLINE
#   https://www.pegelonline.wsv.de/webservices/rest-api/v2/ (water=RHEIN, gaugeZero unit
#   'm. ü. NHN', characteristicValues GlW). Regenerate with harvest_rhein_glw.py when the WSV
#   republishes GlW. Attribution: © Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV) / BfG.
gauge,lon,lat,km,glw_nhn_m
MAXAU,8.305564,49.038977,362.327,101.441
SPEYER,8.448705,49.323807,400.61,90.837
MANNHEIM,8.455165,49.48394,424.733,86.667
WORMS,8.377519,49.631837,443.37,84.792
MAINZ,8.275319,50.003995,498.27,80.083
OESTRICH,8.030048,50.002866,518.08,78.482
BINGEN,7.899668,49.970342,528.36,77.155
KAUB,7.764962,50.085438,546.23,68.439
KOBLENZ,7.604741,50.35864,591.49,58.462
ANDERNACH,7.392056,50.44339,613.78,52.414
BONN,7.108045,50.736398,654.8,44.133
KÖLN,6.9633,50.936949,688.0,36.428
DÜSSELDORF,6.769891,51.225498,744.2,25.439
DUISBURG-RUHRORT,6.727927,51.455345,780.8,18.376
WESEL,6.60682,51.646143,814.0,12.946
REES,6.395692,51.756953,837.4,9.923
EMMERICH,6.245594,51.829252,851.9,8.738
