# dgm_w inland low-water reference gauges — MNW in NHN. Generated by harvest_gauges.py
# from PEGELONLINE (https://www.pegelonline.wsv.de/webservices/rest-api/v2/); regenerate when
# the WSV republishes MNW. datum_nhn_m = gaugeZero + MNW/100 (gaugeZero unit 'm. ü. NHN').
# Attribution: © Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV) / BfG.
gauge,lon,lat,km,datum_nhn_m
HANN.MUENDEN,9.640917,51.425789,0.65,115.91
WAHMBECK,9.519728,51.625616,35.97,99.232
KARLSHAFEN,9.438681,51.647986,45.52,94.91
HÖXTER,9.40047,51.775801,69.62,85.797
BODENWERDER,9.515736,51.973727,110.72,70.55
HAMELN WEHRBERGEN,9.306544,52.123731,139.68,58.73
RINTELN,9.081705,52.189747,163.2,50.829
VLOTHO,8.862407,52.176396,184.0,42.87
PORTA,8.922041,52.248709,198.4,38.289
PETERSHAGEN,8.970778,52.382338,215.77,32.761
LIEBENAU,9.112772,52.594206,256.15,21.21
NIENBURG,9.204659,52.644153,268.18,21.027
DRAKENBURG,9.225581,52.693099,278.88,15.99
DÖRVERDEN,9.210322,52.852272,308.95,10.211
INTSCHEDE,9.125799,52.964169,331.28,5.205
DREYE,8.891252,53.014359,355.8,4.68
WESERWEHR OW,8.869127,53.058583,361.8,4.38
